,Year,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,Popularity,MSRP
count,11914.0,11845.0,11884.0,11908.0,11914.0,11914.0,11914.0,11914.0
mean,2010.384337753903,249.38607007176023,5.628828677213059,3.4360933825999327,26.637485311398354,19.73325499412456,1554.9111969111968,40594.737032063116
std,7.579739887595705,109.19187025917206,1.780559348246223,0.8813153865835543,8.863000766979432,8.987798160299246,1441.8553466274618,60109.103603654294
min,1990.0,55.0,0.0,2.0,12.0,7.0,2.0,2000.0
25%,2007.0,170.0,4.0,2.0,22.0,16.0,549.0,21000.0
50%,2015.0,227.0,6.0,4.0,26.0,18.0,1385.0,29995.0
75%,2016.0,300.0,6.0,4.0,30.0,22.0,2009.0,42231.25
max,2017.0,1001.0,16.0,4.0,354.0,137.0,5657.0,2065902.0
